,Tri-gram,Frequency
0,sie zu youtube,2
1,cookies und daten,2
2,abh ngig von,2
3,ngig von ihren,2
4,bei google und,2
5,inhalte und werbeanzeigen,2
6,bevor sie zu,1
7,zu youtube weitergehenanmelden,1
8,youtube weitergehenanmelden ein,1
9,weitergehenanmelden ein google,1
10,ein google unternehmenbevor,1
11,google unternehmenbevor sie,1
12,unternehmenbevor sie zu,1
13,zu youtube weitergehengoogle,1
14,youtube weitergehengoogle verwendet,1
15,weitergehengoogle verwendet cookies,1
16,verwendet cookies und,1
17,und daten folgendes,1
18,daten folgendes dienste,1
19,folgendes dienste anbieten,1
